"","park","death_cause","death_group","intent","outcome","sex","age_range","activity","incident_date","year"
"1776","Rocky Mountain National Park","Fall","Fall","Unintentional","Fatal Injury","Male","55-64","Hiking",2016-01-22,2016
"1777","Natchez Trace Parkway","Suicide","Suicide","Intentional","Fatal Injury","Male","15-24","Suicide",2016-01-29,2016
"1778","Grand Canyon National Park","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","55-64","Other",2016-02-02,2016
"1779","Baltimore-Washington Parkway","Suicide","Suicide","Intentional","Fatal Injury","Male","25-34","Suicide",2016-02-06,2016
"1780","Glen Canyon National Recreation Area","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","45-54","Other",2016-02-08,2016
"1781","Point Reyes National Seashore","Snowmobile Incident","Other Transportation","Unintentional","Fatal injury","Male","45-54","Snowmobiling",2016-02-11,2016
"1782","George Washington Memorial Parkway","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","65+","Hiking",2016-02-15,2016
"1783","Great Smoky Mountains National Park","Suicide","Suicide","Intentional","Fatal Injury","Male","25-34","Suicide",2016-02-19,2016
"1784","Amistad National Recreation Area","Fall","Fall","Unintentional","Fatal Injury","Male","35-44","Diving (Land)",2016-02-20,2016
"1785","Hot Springs National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","65+","Driving",2016-02-20,2016
"1786","Scotts Bluff National Monument","Undetermined","Undetermined","Undetermined","Fatal Injury","Not Reported","Not Reported","Not Reported",2016-02-20,2016
"1787","Colonial National Historical Park","Suicide","Suicide","Intentional","Fatal Injury","Male","65+","Suicide",2016-02-25,2016
"1788","Rocky Mountain National Park","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Female","35-44","Hiking",2016-02-27,2016
"1789","Golden Gate National Recreation Area","Suicide","Suicide","Intentional","Fatal Injury","Male","25-34","Suicide",2016-02-29,2016
"1790","Padre Island National Seashore","Drowning","Drowning","Unintentional","Fatal Injury","Male","15-24","Swimming",2016-03-01,2016
"1791","Rock Creek Park","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","Not Reported","Not Reported",2016-03-07,2016
"1792","Catoctin Mountain Park","Suicide","Suicide","Intentional","Fatal Injury","Male","45-54","Suicide",2016-03-08,2016
"1793","Zion National Park","Fall","Fall","Unintentional","Fatal Injury","Male","35-44","Climbing",2016-03-09,2016
"1794","Padre Island National Seashore","Suicide","Suicide","Intentional","Fatal Injury","Male","25-34","Suicide",2016-03-11,2016
"1795","Natchez Trace Parkway","Suicide","Suicide","Intentional","Fatal Injury","Male","25-34","Suicide",2016-03-11,2016
"1796","Big South Fork National River and Recreation Area","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","25-34","Not Reported",2016-03-22,2016
"1797","Ozark National Scenic Riverways","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Female","45-54","Driving",2016-03-23,2016
"1798","Big Thicket National Preserve","Suicide","Suicide","Intentional","Fatal Injury","Male","45-54","Suicide",2016-03-24,2016
"1799","Sequoia & Kings Canyon National Parks","Suicide","Suicide","Intentional","Fatal Injury","Female","45-54","Suicide",2016-03-24,2016
"1800","Big Cypress National Preserve","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","65+","Sitting",2016-03-25,2016
"1801","Mount Rainier National Park","Hypothermia","Environmental","Unintentional","Fatal Injury","Male","55-64","Hiking",2016-03-26,2016
"1802","Golden Gate National Recreation Area","Suicide","Suicide","Intentional","Fatal Injury","Male","Not Reported","Suicide",2016-03-26,2016
"1803","Olympic National Park","Suicide","Suicide","Intentional","Fatal Injury","Male","35-44","Suicide",2016-04-01,2016
"1804","Grand Canyon National Park","Suicide","Suicide","Intentional","Fatal Injury","Female","15-24","Suicide",2016-04-03,2016
"1805","Boston National Historical Park","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","55-64","Walking",2016-04-08,2016
"1806","Yosemite National Park","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","65+","Walking",2016-04-11,2016
"1807","Chesapeake & Ohio Canal National Historical Park","Drowning","Drowning","Unintentional","Fatal Injury","Male","45-54","Not Reported",2016-04-12,2016
"1808","Kennesaw Mountain National Battlefield Park","Suicide","Suicide","Intentional","Fatal Injury","Male","25-34","Suicide",2016-04-13,2016
"1809","Everglades National Park","Drowning","Drowning","Unintentional","Fatal Injury","Male","65+","Vessel Related",2016-04-14,2016
"1810","Glen Canyon National Recreation Area","Drowning","Drowning","Unintentional","Fatal Injury","Male","25-34","Vessel Related",2016-04-14,2016
"1811","New River Gorge National River","Drowning","Drowning","Unintentional","Fatal Injury","Male","45-54","Vessel Related",2016-04-14,2016
"1812","Castillo De San Marcos National Monument","Medical - Unknown","Medical - Unknown","Medical","Fatal Injury","Male","45-54","Not Reported",2016-04-14,2016
