"","park","death_cause","death_group","intent","outcome","sex","age_range","activity","incident_date","year"
"2499","Yosemite National Park","Medical - Unknown","Medical - Unknown","Medical","Fatal Injury","Male","65+","Not Reported",2018-01-15,2018
"2500","Grand Teton National Park","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","65+","Skiing",2018-01-16,2018
"2501","Organ Pipe Cactus National Monument","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","Not Reported","Illegal activity",2018-01-17,2018
"2502","Blue Ridge Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","55-64","Driving",2018-01-29,2018
"2503","Kings Mountain National Military Park","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","65+","Hiking",2018-02-02,2018
"2504","Big Cypress National Preserve","Medical - Unknown","Medical - Unknown","Medical","Fatal Injury","Female","45-54","Not Reported",2018-02-02,2018
"2505","Buffalo National River","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","65+","Not Reported",2018-02-04,2018
"2506","Zion National Park","Fall","Fall","Unintentional","Fatal Injury","Female","0-14","Hiking",2018-02-05,2018
"2507","Baltimore-Washington Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Female","0-14","Driving",2018-02-05,2018
"2508","Grand Canyon National Park","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","65+","Other",2018-02-09,2018
"2509","Chattahoochee River National Recreation Area","Suicide","Suicide","Intentional","Fatal injury","Male","65+","Suicide",2018-02-11,2018
"2510","Canyonlands National Park","Suicide","Suicide","Intentional","Fatal injury","Male","45-54","Suicide",2018-02-14,2018
"2511","Golden Gate National Recreation Area","Bicycle only crash","Other Transportation","Unintentional","Fatal Injury","Male","65+","Bicycling",2018-02-16,2018
"2512","Organ Pipe Cactus National Monument","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","Not Reported","Illegal activity",2018-02-17,2018
"2513","Grand Canyon National Park","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","65+","Other",2018-02-19,2018
"2514","Colorado National Monument","Suicide","Suicide","Intentional","Fatal Injury","Male","15-24","Suicide",2018-02-19,2018
"2515","Gateway National Recreation Area","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","65+","Sitting",2018-02-22,2018
"2516","Lake Mead National Recreation Area","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","45-54","Sitting",2018-02-24,2018
"2517","Lake Mead National Recreation Area","Suicide","Suicide","Intentional","Fatal injury","Male","25-34","Suicide",2018-02-24,2018
"2518","Buffalo National River","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","25-34","Hiking",2018-02-25,2018
"2519","Boston National Historical Park","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","55-64","Not Reported",2018-02-25,2018
"2520","Yellowstone National Park","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","25-34","Not Reported",2018-02-26,2018
"2521","Blue Ridge Parkway","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","55-64","Not Reported",2018-03-03,2018
"2522","Independence National Historical Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","Not Reported","Driving",2018-03-04,2018
"2523","Blue Ridge Parkway","Suicide","Suicide","Intentional","Fatal injury","Female","45-54","Suicide",2018-03-04,2018
"2524","Virgin Islands National Park","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Female","65+","Snorkeling",2018-03-06,2018
"2525","Kennesaw Mountain National Battlefield Park","Suicide","Suicide","Intentional","Fatal injury","Male","55-64","Suicide",2018-03-06,2018
"2526","Organ Pipe Cactus National Monument","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","Not Reported","Illegal activity",2018-03-08,2018
"2527","Chesapeake & Ohio Canal National Historical Park","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","15-24","Not Reported",2018-03-08,2018
"2528","Rocky Mountain National Park","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","65+","Hiking",2018-03-09,2018
"2529","Mount Rainier National Park","Fall","Fall","Unintentional","Fatal Injury","Male","15-24","Snowshoeing",2018-03-12,2018
"2530","Suitland","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","55-64","Walking",2018-03-16,2018
"2531","Organ Pipe Cactus National Monument","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","Not Reported","Illegal activity",2018-03-21,2018
"2532","Point Reyes National Seashore","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","65+","Hiking",2018-03-26,2018
"2533","Organ Pipe Cactus National Monument","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","25-34","Illegal activity",2018-03-28,2018
"2534","Gateway National Recreation Area","Suicide","Suicide","Intentional","Fatal injury","Male","15-24","Suicide",2018-03-31,2018
"2535","National Mall & Memorial Parks","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","55-64","Not Reported",2018-03-31,2018
"2536","Blue Ridge Parkway","Suicide","Suicide","Intentional","Fatal injury","Male","25-34","Suicide",2018-04-02,2018
"2537","Great Falls Park","Suicide","Suicide","Intentional","Fatal injury","Male","65+","Suicide",2018-04-03,2018
"2538","Yosemite National Park","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","35-44","Other",2018-04-03,2018
"2539","Saint Croix National Scenic Riverway","Suicide","Suicide","Intentional","Fatal injury","Male","15-24","Suicide",2018-04-04,2018
"2540","Lake Mead National Recreation Area","Suicide","Suicide","Intentional","Fatal injury","Male","65+","Suicide",2018-04-05,2018
"2541","Baltimore-Washington Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","15-24","Driving",2018-04-06,2018
"2542","Chattahoochee River National Recreation Area","Suicide","Suicide","Intentional","Fatal injury","Male","55-64","Suicide",2018-04-09,2018
"2543","Blue Ridge Parkway","Homicide","Homicide","Intentional","Fatal Injury","Male","15-24","Homicide",2018-04-10,2018
"2544","Manassas National Battlefield Park","Suicide","Suicide","Intentional","Fatal injury","Not Reported","Not Reported","Suicide",2018-04-10,2018
"2545","Rock Creek Park","Suicide","Suicide","Intentional","Fatal injury","Female","Not Reported","Suicide",2018-04-10,2018
"2546","Organ Pipe Cactus National Monument","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","Not Reported","Illegal activity",2018-04-10,2018
"2547","Curecanti National Recreation Area","Suicide","Suicide","Intentional","Fatal injury","Male","35-44","Suicide",2018-04-12,2018
"2548","Saguaro National Park","Suicide","Suicide","Intentional","Fatal injury","Male","25-34","Suicide",2018-04-12,2018
"2549","Golden Gate National Recreation Area","Medical - Unknown","Medical - Unknown","Medical","Fatal Injury","Male","65+","Not Reported",2018-04-14,2018
"2550","Lake Mead National Recreation Area","Suicide","Suicide","Intentional","Fatal injury","Male","35-44","Suicide",2018-04-15,2018
"2551","Gateway National Recreation Area","Drowning","Drowning","Unintentional","Fatal Injury","Male","35-44","Not Reported",2018-04-16,2018
"2552","New River Gorge National River","Suicide","Suicide","Intentional","Fatal injury","Female","25-34","Suicide",2018-04-16,2018
"2553","Grand Canyon National Park","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Female","65+","Other",2018-04-18,2018
"2554","Organ Pipe Cactus National Monument","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","35-44","Illegal activity",2018-04-18,2018
"2555","Lake Roosevelt National Recreation Area","Suicide","Suicide","Intentional","Fatal injury","Male","55-64","Suicide",2018-04-20,2018
"2556","Zion National Park","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","65+","Other",2018-04-21,2018
"2557","Glen Canyon National Recreation Area","Suicide","Suicide","Intentional","Fatal injury","Male","45-54","Suicide",2018-04-21,2018
"2558","Grand Canyon National Park","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","55-64","Driving",2018-04-23,2018
"2559","Mississippi National River & Recreation Area","Other","Other","Unintentional","Fatal Injury","Male","45-54","Hiking",2018-04-23,2018
"2560","Golden Gate National Recreation Area","Drowning","Drowning","Unintentional","Fatal Injury","Male","45-54","Not Reported",2018-04-24,2018
"2561","Whiskeytown National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","35-44","Driving",2018-04-24,2018
"2562","Great Smoky Mountains National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Female","55-64","Driving",2018-04-25,2018
"2563","Rock Creek Park","Suicide","Suicide","Intentional","Fatal injury","Female","25-34","Suicide",2018-04-27,2018
"2564","New River Gorge National River","Suicide","Suicide","Intentional","Fatal injury","Male","35-44","Suicide",2018-04-27,2018
"2565","Yosemite National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","35-44","Driving",2018-04-28,2018
"2566","Natchez Trace Parkway","Suicide","Suicide","Intentional","Fatal injury","Female","55-64","Suicide",2018-04-28,2018
"2567","Baltimore-Washington Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","45-54","Driving",2018-04-29,2018
"2568","Colonial National Historical Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","65+","Driving",2018-04-30,2018
"2569","Colonial National Historical Park","Drowning","Drowning","Unintentional","Fatal Injury","Male","25-34","Swimming",2018-05-04,2018
"2570","Joshua Tree National Park","Undetermined","Undetermined","Undetermined","Fatal Injury","Not Reported","Not Reported","Not Reported",2018-05-04,2018
"2571","Sequoia & Kings Canyon National Parks","Fall","Fall","Unintentional","Fatal Injury","Male","25-34","Climbing",2018-05-05,2018
"2572","Glen Canyon National Recreation Area","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","65+","Fishing",2018-05-05,2018
"2573","Haleakala National Park","Rockfall","Environmental","Unintentional","Fatal Injury","Male","25-34","Sitting",2018-05-05,2018
"2574","Glen Canyon National Recreation Area","Fall","Fall","Unintentional","Fatal Injury","Male","25-34","Photographing",2018-05-06,2018
"2575","Sequoia & Kings Canyon National Parks","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","65+","Other",2018-05-07,2018
"2576","Lake Roosevelt National Recreation Area","Suicide","Suicide","Intentional","Fatal injury","Male","25-34","Suicide",2018-05-09,2018
"2577","Katmai National Park & Preserve","Suicide","Suicide","Intentional","Fatal injury","Female","35-44","Suicide",2018-05-09,2018
"2578","Golden Gate National Recreation Area","Suicide","Suicide","Intentional","Fatal injury","Female","25-34","Suicide",2018-05-11,2018
"2579","Little River Canyon National Preserve","Drowning","Drowning","Unintentional","Fatal Injury","Male","0-14","Swimming",2018-05-12,2018
"2580","Grand Canyon National Park","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","55-64","Sleeping",2018-05-12,2018
"2581","Sequoia & Kings Canyon National Parks","Fall","Fall","Unintentional","Fatal Injury","Male","25-34","Hiking",2018-05-13,2018
"2582","North Cascades National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","15-24","Driving",2018-05-13,2018
"2583","Big Cypress National Preserve","Suicide","Suicide","Intentional","Fatal injury","Male","65+","Suicide",2018-05-13,2018
"2584","Glen Canyon National Recreation Area","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","65+","Other",2018-05-16,2018
"2585","Organ Pipe Cactus National Monument","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","Not Reported","Illegal activity",2018-05-16,2018
"2586","Clara Barton National Historic Site","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","65+","Driving",2018-05-17,2018
"2587","Shenandoah National Park","Suicide","Suicide","Intentional","Fatal injury","Female","65+","Suicide",2018-05-17,2018
"2588","George Washington Memorial Parkway","Suicide","Suicide","Intentional","Fatal injury","Male","45-54","Suicide",2018-05-18,2018
"2589","Colorado National Monument","Suicide","Suicide","Intentional","Fatal injury","Female","25-34","Suicide",2018-05-18,2018
"2590","Petroglyph National Monument","Suicide","Suicide","Intentional","Fatal Injury","Male","55-64","Suicide",2018-05-19,2018
"2591","Lake Meredith National Recreation Area","Drowning","Drowning","Unintentional","Fatal Injury","Male","55-64","Vessel Related",2018-05-20,2018
"2592","Glen Canyon National Recreation Area","Fall","Fall","Unintentional","Fatal Injury","Female","35-44","Diving (Land)",2018-05-20,2018
"2593","Chattahoochee River National Recreation Area","Drowning","Drowning","Unintentional","Fatal Injury","Male","15-24","Swimming",2018-05-21,2018
"2594","Yosemite National Park","Fall","Fall","Unintentional","Fatal Injury","Male","25-34","Hiking",2018-05-21,2018
"2595","Shenandoah National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Female","45-54","Driving",2018-05-21,2018
"2596","Golden Gate National Recreation Area","Undetermined","Undetermined","Undetermined","Fatal Injury","Not Reported","Not Reported","Not Reported",2018-05-21,2018
"2597","Appalachian National Scenic Trail","Drowning","Drowning","Unintentional","Fatal Injury","Male","35-44","Swimming",2018-05-22,2018
"2598","Voyageurs National Park","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","55-64","Sleeping",2018-05-23,2018
"2599","Yellowstone National Park","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Female","65+","Driving",2018-05-24,2018
"2600","Delaware Water Gap National Recreation Area","Drowning","Drowning","Unintentional","Fatal Injury","Male","35-44","Vessel Related",2018-05-25,2018
"2601","Glacier National Park","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","55-64","Bicycling",2018-05-25,2018
"2602","Delaware Water Gap National Recreation Area","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","55-64","Hiking",2018-05-26,2018
"2603","Lake Mead National Recreation Area","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","35-44","Vessel Related",2018-05-26,2018
"2604","Blue Ridge Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","25-34","Driving",2018-05-26,2018
"2605","Joshua Tree National Park","Homicide","Homicide","Intentional","Fatal Injury","Male","45-54","Homicide",2018-06-01,2018
"2606","Cumberland Gap National Historical Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Female","25-34","Driving",2018-06-01,2018
"2607","Cumberland Gap National Historical Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Female","25-34","Driving",2018-06-01,2018
"2608","New River Gorge National River","Drowning","Drowning","Unintentional","Fatal Injury","Male","45-54","Swimming",2018-06-02,2018
"2609","Chickasaw National Recreation Area","Drowning","Drowning","Unintentional","Fatal Injury","Male","25-34","Swimming",2018-06-02,2018
"2610","Yosemite National Park","Fall","Fall","Unintentional","Fatal Injury","Male","35-44","Climbing",2018-06-02,2018
"2611","Yosemite National Park","Fall","Fall","Unintentional","Fatal Injury","Male","45-54","Climbing",2018-06-02,2018
"2612","Chattahoochee River National Recreation Area","Fall","Fall","Unintentional","Fatal Injury","Male","25-34","Other",2018-06-02,2018
"2613","Cape Hatteras National Seashore","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","65+","Swimming",2018-06-03,2018
"2614","Cape Hatteras National Seashore","Drowning","Drowning","Unintentional","Fatal Injury","Male","55-64","Swimming",2018-06-06,2018
"2615","Organ Pipe Cactus National Monument","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","Not Reported","Illegal activity",2018-06-06,2018
"2616","Cape Hatteras National Seashore","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","55-64","Swimming",2018-06-06,2018
"2617","Mount Rainier National Park","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","65+","Hiking",2018-06-07,2018
"2618","Grand Canyon National Park","Hyperthermia","Environmental","Unintentional","Fatal Injury","Male","55-64","Hiking",2018-06-08,2018
"2619","National Capital Parks-East","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","35-44","Vessel Related",2018-06-08,2018
"2620","Great Smoky Mountains National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","15-24","Driving",2018-06-08,2018
"2621","Delaware Water Gap National Recreation Area","Suicide","Suicide","Intentional","Fatal injury","Male","45-54","Suicide",2018-06-08,2018
"2622","Blue Ridge Parkway","Suicide","Suicide","Intentional","Fatal injury","Male","25-34","Suicide",2018-06-08,2018
"2623","Grand Teton National Park","Aircraft incident","Other Transportation","Unintentional","Fatal Injury","Female","65+","Flying",2018-06-09,2018
"2624","Grand Teton National Park","Aircraft incident","Other Transportation","Unintentional","Fatal Injury","Male","65+","Flying",2018-06-09,2018
"2625","Saint Croix National Scenic Riverway","Drowning","Drowning","Unintentional","Fatal Injury","Male","15-24","Not Reported",2018-06-09,2018
"2626","Statue Of Liberty National Monument","Undetermined","Undetermined","Undetermined","Fatal Injury","Female","65+","Walking",2018-06-09,2018
"2627","Sequoia & Kings Canyon National Parks","Drowning","Drowning","Unintentional","Fatal Injury","Male","35-44","Swimming",2018-06-10,2018
"2628","Yosemite National Park","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","45-54","Hiking",2018-06-11,2018
"2629","Chattahoochee River National Recreation Area","Suicide","Suicide","Intentional","Fatal injury","Male","55-64","Suicide",2018-06-12,2018
"2630","Grand Canyon National Park","Poisoning - alcohol","Poisoning","Unintentional","Fatal Injury","Male","35-44","Other",2018-06-13,2018
"2631","Organ Pipe Cactus National Monument","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","Not Reported","Illegal activity",2018-06-15,2018
"2632","Lake Mead National Recreation Area","Drowning","Drowning","Unintentional","Fatal Injury","Male","35-44","Swimming",2018-06-17,2018
"2633","North Cascades National Park","Suicide","Suicide","Intentional","Fatal injury","Male","25-34","Suicide",2018-06-17,2018
"2634","Katmai National Park & Preserve","Drowning","Drowning","Unintentional","Fatal Injury","Male","65+","Vessel Related",2018-06-19,2018
"2635","Organ Pipe Cactus National Monument","Undetermined","Undetermined","Undetermined","Fatal Injury","Not Reported","Not Reported","Illegal activity",2018-06-20,2018
"2636","Organ Pipe Cactus National Monument","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","35-44","Illegal activity",2018-06-21,2018
"2637","Wrangell - St Elias National Park & Reserve","Drowning","Drowning","Unintentional","Fatal Injury","Male","55-64","Crossing River",2018-06-22,2018
"2638","Wrangell - St Elias National Park & Reserve","Drowning","Drowning","Unintentional","Fatal Injury","Female","55-64","Crossing River",2018-06-22,2018
"2639","Grand Canyon National Park","Hyperthermia","Environmental","Unintentional","Fatal Injury","Male","15-24","Hiking",2018-06-22,2018
"2640","George Washington Memorial Parkway","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","65+","Driving",2018-06-22,2018
"2641","Sequoia & Kings Canyon National Parks","Drowning","Drowning","Unintentional","Fatal Injury","Male","15-24","Swimming",2018-06-23,2018
"2642","New River Gorge National River","Drowning","Drowning","Unintentional","Fatal Injury","Male","45-54","Swimming",2018-06-24,2018
"2643","Mount Rushmore National Memorial","Suicide","Suicide","Intentional","Fatal injury","Male","45-54","Suicide",2018-06-24,2018
"2644","Grand Teton National Park","Fall","Fall","Unintentional","Fatal Injury","Male","25-34","Climbing",2018-06-25,2018
"2645","Cape Hatteras National Seashore","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","45-54","Swimming",2018-06-28,2018
"2646","Great Smoky Mountains National Park","Bicycle only crash","Other Transportation","Unintentional","Fatal Injury","Female","55-64","Bicycling",2018-06-29,2018
"2647","Dinosaur National Monument","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Female","25-34","Driving",2018-06-30,2018
"2648","Blue Ridge Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","65+","Driving",2018-06-30,2018
"2649","Shenandoah National Park","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","45-54","Hiking",2018-06-30,2018
"2650","Great Smoky Mountains National Park","Suicide","Suicide","Intentional","Fatal injury","Male","35-44","Suicide",2018-07-01,2018
"2651","Lake Mead National Recreation Area","Drowning","Drowning","Unintentional","Fatal Injury","Male","15-24","Swimming",2018-07-03,2018
"2652","Grand Canyon National Park","Fall","Fall","Unintentional","Fatal Injury","Male","25-34","Photographing",2018-07-03,2018
"2653","Arches National Park","Hyperthermia","Environmental","Unintentional","Fatal Injury","Female","35-44","Hiking",2018-07-03,2018
"2654","Assateague Island National Seashore","Drowning","Drowning","Unintentional","Fatal Injury","Male","35-44","Swimming",2018-07-04,2018
"2655","Rocky Mountain National Park","Fall","Fall","Unintentional","Fatal Injury","Male","35-44","Hiking",2018-07-05,2018
"2656","Organ Pipe Cactus National Monument","Hyperthermia","Environmental","Unintentional","Fatal Injury","Male","15-24","Illegal activity",2018-07-05,2018
"2657","Death Valley National Park","Poisoning - drugs","Poisoning","Unintentional","Fatal Injury","Female","35-44","Other",2018-07-05,2018
"2658","Saguaro National Park","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","65+","Hiking",2018-07-08,2018
"2659","Wrangell - St Elias National Park & Reserve","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","45-54","Hiking",2018-07-10,2018
"2660","Sequoia & Kings Canyon National Parks","Fall","Fall","Unintentional","Fatal Injury","Male","25-34","Climbing",2018-07-12,2018
"2661","Yellowstone National Park","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","65+","Walking",2018-07-12,2018
"2662","Lake Meredith National Recreation Area","Medical - Unknown","Medical - Unknown","Medical","Fatal Injury","Male","25-34","Not Reported",2018-07-12,2018
"2663","Yosemite National Park","Undetermined","Undetermined","Undetermined","Fatal Injury","Not Reported","Not Reported","Not Reported",2018-07-12,2018
"2664","Lake Mead National Recreation Area","Poisoning - drugs","Poisoning","Unintentional","Fatal Injury","Male","25-34","Other",2018-07-13,2018
"2665","Cape Cod National Seashore","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","45-54","Sitting",2018-07-13,2018
"2666","Great Smoky Mountains National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","65+","Driving",2018-07-14,2018
"2667","Yellowstone National Park","Suicide","Suicide","Intentional","Fatal injury","Male","55-64","Suicide",2018-07-14,2018
"2668","Cape Cod National Seashore","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","65+","Vessel Related",2018-07-15,2018
"2669","Blue Ridge Parkway","Suicide","Suicide","Intentional","Fatal injury","Male","35-44","Suicide",2018-07-15,2018
"2670","Joshua Tree National Park","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","45-54","Hiking",2018-07-15,2018
"2671","Lake Roosevelt National Recreation Area","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","45-54","Not Reported",2018-07-15,2018
"2672","George Washington Memorial Parkway","Drowning","Drowning","Unintentional","Fatal Injury","Male","65+","Fishing",2018-07-16,2018
"2673","Death Valley National Park","Fall","Fall","Unintentional","Fatal Injury","Male","55-64","Hiking",2018-07-16,2018
"2674","Mesa Verde National Park","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","65+","Hiking",2018-07-16,2018
"2675","Everglades National Park","Aircraft incident","Other Transportation","Unintentional","Fatal Injury","Female","15-24","Flying",2018-07-17,2018
"2676","Everglades National Park","Aircraft incident","Other Transportation","Unintentional","Fatal Injury","Male","15-24","Flying",2018-07-17,2018
"2677","Everglades National Park","Aircraft incident","Other Transportation","Unintentional","Fatal Injury","Male","15-24","Flying",2018-07-17,2018
"2678","Everglades National Park","Aircraft incident","Other Transportation","Unintentional","Fatal Injury","Male","65+","Flying",2018-07-17,2018
"2679","National Mall & Memorial Parks","Poisoning - drugs","Poisoning","Unintentional","Fatal Injury","Male","Not Reported","Not Reported",2018-07-17,2018
"2680","New River Gorge National River","Suicide","Suicide","Intentional","Fatal injury","Male","15-24","Suicide",2018-07-17,2018
"2681","Appalachian National Scenic Trail","Fall","Fall","Unintentional","Fatal Injury","Male","65+","Hiking",2018-07-18,2018
"2682","Anacostia Park","Medical - Unknown","Medical - Unknown","Medical","Fatal Injury","Male","Not Reported","Not Reported",2018-07-18,2018
"2683","Mount Rainier National Park","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","65+","Hiking",2018-07-19,2018
"2684","Mount Rushmore National Memorial","Fall","Fall","Unintentional","Fatal Injury","Male","55-64","Hiking",2018-07-20,2018
"2685","Glacier National Park","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","65+","Driving",2018-07-20,2018
"2686","Grand Teton National Park","Fall","Fall","Unintentional","Fatal Injury","Male","25-34","Climbing",2018-07-22,2018
"2687","Golden Gate National Recreation Area","Suicide","Suicide","Intentional","Fatal injury","Male","15-24","Suicide",2018-07-22,2018
"2688","Lake Mead National Recreation Area","Drowning","Drowning","Unintentional","Fatal Injury","Male","25-34","Swimming",2018-07-23,2018
"2689","Grand Teton National Park","Suicide","Suicide","Intentional","Fatal injury","Female","35-44","Suicide",2018-07-23,2018
"2690","Big Cypress National Preserve","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","Not Reported","Hiking",2018-07-23,2018
"2691","Blue Ridge Parkway","Homicide","Homicide","Intentional","Fatal Injury","Female","25-34","Homicide",2018-07-24,2018
"2692","Organ Pipe Cactus National Monument","Hyperthermia","Environmental","Unintentional","Fatal Injury","Male","35-44","Illegal activity",2018-07-24,2018
"2693","Little Bighorn Battlefield National Monument","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","65+","Sitting",2018-07-24,2018
"2694","Yellowstone National Park","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","65+","Sleeping",2018-07-24,2018
"2695","Mount Rainier National Park","Drowning","Drowning","Unintentional","Fatal Injury","Female","15-24","Crossing River",2018-07-25,2018
"2696","Glen Canyon National Recreation Area","Drowning","Drowning","Unintentional","Fatal Injury","Male","45-54","Diving - Free",2018-07-25,2018
"2697","Lake Mead National Recreation Area","Poisoning - drugs","Poisoning","Unintentional","Fatal Injury","Male","55-64","Other",2018-07-25,2018
"2698","Organ Pipe Cactus National Monument","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","25-34","Illegal activity",2018-07-26,2018
"2699","Lake Mead National Recreation Area","Hyperthermia","Environmental","Unintentional","Fatal Injury","Female","45-54","Hiking",2018-07-28,2018
"2700","Lake Mead National Recreation Area","Suicide","Suicide","Intentional","Fatal injury","Male","25-34","Suicide",2018-07-29,2018
"2701","Mount Rainier National Park","Fall","Fall","Unintentional","Fatal Injury","Male","45-54","Hiking",2018-07-30,2018
"2702","Glacier National Park","Fall","Fall","Unintentional","Fatal Injury","Male","15-24","Hiking",2018-07-31,2018
"2703","Organ Pipe Cactus National Monument","Hyperthermia","Environmental","Unintentional","Fatal Injury","Male","35-44","Illegal activity",2018-08-01,2018
"2704","Big Cypress National Preserve","Suicide","Suicide","Intentional","Fatal injury","Male","25-34","Suicide",2018-08-01,2018
"2705","Blue Ridge Parkway","Suicide","Suicide","Intentional","Fatal injury","Male","45-54","Suicide",2018-08-01,2018
"2706","Wrangell - St Elias National Park & Reserve","Drowning","Drowning","Unintentional","Fatal Injury","Male","15-24","Vessel Related",2018-08-02,2018
"2707","Denali National Park & Preserve","Aircraft incident","Other Transportation","Unintentional","Fatal Injury","Male","45-54","Flying",2018-08-04,2018
"2708","Denali National Park & Preserve","Aircraft incident","Other Transportation","Unintentional","Fatal Injury","Female","55-64","Flying",2018-08-04,2018
"2709","Denali National Park & Preserve","Aircraft incident","Other Transportation","Unintentional","Fatal Injury","Male","55-64","Flying",2018-08-04,2018
